CustomerID,CustomerName,CustomerCategoryName,PrimaryContact,PhoneNumber,FaxNumber,WebsiteURL,DeliveryMethod,CityName
27,"Tailspin Toys (Bowlus, MN)",Novelty Shop,Paula Gonzales,(218) 555-0100,(218) 555-0101,http://www.tailspintoys.com/Bowlus,Delivery Van,Bowlus
28,"Tailspin Toys (North Ridge, NY)",Novelty Shop,Tatjana Utjesenovic,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/NorthRidge,Delivery Van,North Ridge
29,"Tailspin Toys (Eulaton, AL)",Novelty Shop,Karel Hanak,(205) 555-0100,(205) 555-0101,http://www.tailspintoys.com/Eulaton,Delivery Van,Eulaton
30,"Tailspin Toys (Koontzville, WA)",Novelty Shop,Odessa Schneider,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/Koontzville,Delivery Van,Koontzville
31,"Tailspin Toys (Lake Stevens, WA)",Novelty Shop,Kimberly Pace,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/LakeStevens,Delivery Van,Lake Stevens
32,"Tailspin Toys (Maypearl, TX)",Novelty Shop,Nikolajs Kalejs,(210) 555-0100,(210) 555-0101,http://www.tailspintoys.com/Maypearl,Delivery Van,Maypearl
33,"Tailspin Toys (Boyden Arbor, SC)",Novelty Shop,Haasini Rai,(803) 555-0100,(803) 555-0101,http://www.tailspintoys.com/BoydenArbor,Delivery Van,Boyden Arbor
34,"Tailspin Toys (Dallardsville, TX)",Novelty Shop,Anjali Asthana,(210) 555-0100,(210) 555-0101,http://www.tailspintoys.com/Dallardsville,Delivery Van,Dallardsville
35,"Tailspin Toys (Slanesville, WV)",Novelty Shop,Shah Omidi,(304) 555-0100,(304) 555-0101,http://www.tailspintoys.com/Slanesville,Delivery Van,Slanesville
36,"Tailspin Toys (Ekron, KY)",Novelty Shop,Ferhat Celik,(270) 555-0100,(270) 555-0101,http://www.tailspintoys.com/Ekron,Delivery Van,Ekron
37,"Tailspin Toys (Kerby, OR)",Novelty Shop,Dayarama Kamei,(458) 555-0100,(458) 555-0101,http://www.tailspintoys.com/Kerby,Delivery Van,Kerby
38,"Tailspin Toys (Airport Drive, MO)",Novelty Shop,Nils Kalnins,(314) 555-0100,(314) 555-0101,http://www.tailspintoys.com/AirportDrive,Delivery Van,Airport Drive
39,"Tailspin Toys (Diablock, KY)",Novelty Shop,Ashish Acharya,(270) 555-0100,(270) 555-0101,http://www.tailspintoys.com/Diablock,Delivery Van,Diablock
40,"Tailspin Toys (Impact, TX)",Novelty Shop,Alena Prikrylova,(210) 555-0100,(210) 555-0101,http://www.tailspintoys.com/Impact,Delivery Van,Impact
41,"Tailspin Toys (Olivette, MO)",Novelty Shop,Lana Rozej,(314) 555-0100,(314) 555-0101,http://www.tailspintoys.com/Olivette,Delivery Van,Olivette
42,"Tailspin Toys (Arietta, NY)",Novelty Shop,Chandrakanta Raut,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/Arietta,Delivery Van,Arietta
43,"Tailspin Toys (Upper Preston, WA)",Novelty Shop,Ganapati Gadiyaram,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/UpperPreston,Delivery Van,Upper Preston
44,"Tailspin Toys (Amanda Park, WA)",Novelty Shop,Adrijana Blagojevic,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/AmandaPark,Delivery Van,Amanda Park
45,"Tailspin Toys (Severna Park, MD)",Novelty Shop,Lap Dinh,(240) 555-0100,(240) 555-0101,http://www.tailspintoys.com/SevernaPark,Delivery Van,Severna Park
46,"Tailspin Toys (Jemison, AL)",Novelty Shop,Didem ozCelik,(205) 555-0100,(205) 555-0101,http://www.tailspintoys.com/Jemison,Delivery Van,Jemison
47,"Tailspin Toys (Lake Hughes, CA)",Novelty Shop,Serhat Akbulut,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/LakeHughes,Delivery Van,Lake Hughes
48,"Tailspin Toys (Trentwood, WA)",Novelty Shop,Daniela Barrios,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/Trentwood,Delivery Van,Trentwood
49,"Tailspin Toys (Muir, MI)",Novelty Shop,Julia Slobodova,(231) 555-0100,(231) 555-0101,http://www.tailspintoys.com/Muir,Delivery Van,Muir
50,"Tailspin Toys (Hambleton, WV)",Novelty Shop,Marcela Jankova,(304) 555-0100,(304) 555-0101,http://www.tailspintoys.com/Hambleton,Delivery Van,Hambleton
51,"Tailspin Toys (Imlaystown, NJ)",Novelty Shop,Dipali Sonkar,(201) 555-0100,(201) 555-0101,http://www.tailspintoys.com/Imlaystown,Delivery Van,Imlaystown
52,"Tailspin Toys (Idria, CA)",Novelty Shop,Bansidhar Mitra,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/Idria,Delivery Van,Idria
53,"Tailspin Toys (Nanafalia, AL)",Novelty Shop,Gunnar Persson,(205) 555-0100,(205) 555-0101,http://www.tailspintoys.com/Nanafalia,Delivery Van,Nanafalia
54,"Tailspin Toys (Railroad, PA)",Novelty Shop,Vitezslav Rehak,(215) 555-0100,(215) 555-0101,http://www.tailspintoys.com/Railroad,Delivery Van,Railroad
55,"Tailspin Toys (Gum Branch, GA)",Novelty Shop,Bharat Sikdar,(229) 555-0100,(229) 555-0101,http://www.tailspintoys.com/GumBranch,Delivery Van,Gum Branch
56,"Tailspin Toys (Royal City, WA)",Novelty Shop,Juan Bezanson,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/RoyalCity,Delivery Van,Royal City
57,"Tailspin Toys (Lakemore, OH)",Novelty Shop,Aile Mae,(216) 555-0100,(216) 555-0101,http://www.tailspintoys.com/Lakemore,Delivery Van,Lakemore
58,"Tailspin Toys (Mappsburg, VA)",Novelty Shop,Pratap Varghese,(276) 555-0100,(276) 555-0101,http://www.tailspintoys.com/Mappsburg,Delivery Van,Mappsburg
59,"Tailspin Toys (Edgartown, MA)",Novelty Shop,Margita Kopecka,(339) 555-0100,(339) 555-0101,http://www.tailspintoys.com/Edgartown,Delivery Van,Edgartown
60,"Tailspin Toys (East Dailey, WV)",Novelty Shop,Lekha Mitra,(304) 555-0100,(304) 555-0101,http://www.tailspintoys.com/EastDailey,Delivery Van,East Dailey
61,"Tailspin Toys (Fairfield Glade, TN)",Novelty Shop,Abhoy PrabhupÄda,(423) 555-0100,(423) 555-0101,http://www.tailspintoys.com/FairfieldGlade,Delivery Van,Fairfield Glade
62,"Tailspin Toys (Great Neck Estates, NY)",Novelty Shop,Alida Caune,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/GreatNeckEstates,Delivery Van,Great Neck Estates
63,"Tailspin Toys (Stallion Springs, CA)",Novelty Shop,Agnes Szolosy,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/StallionSprings,Delivery Van,Stallion Springs
64,"Tailspin Toys (Hodgdon, ME)",Novelty Shop,Rohana Kaskar,(207) 555-0100,(207) 555-0101,http://www.tailspintoys.com/Hodgdon,Delivery Van,Hodgdon
65,"Tailspin Toys (North Cowden, TX)",Novelty Shop,Hanuman Dubey,(210) 555-0100,(210) 555-0101,http://www.tailspintoys.com/NorthCowden,Delivery Van,North Cowden
66,"Tailspin Toys (Madaket, MA)",Novelty Shop,Bao Dao,(339) 555-0100,(339) 555-0101,http://www.tailspintoys.com/Madaket,Delivery Van,Madaket
67,"Tailspin Toys (Sentinel Butte, ND)",Novelty Shop,Preyakshna Aluri,(701) 555-0100,(701) 555-0101,http://www.tailspintoys.com/SentinelButte,Delivery Van,Sentinel Butte
68,"Tailspin Toys (Gardere, LA)",Novelty Shop,Valentina Conti,(225) 555-0100,(225) 555-0101,http://www.tailspintoys.com/Gardere,Delivery Van,Gardere
69,"Tailspin Toys (Lytle Creek, CA)",Novelty Shop,Theodore Saucier,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/LytleCreek,Delivery Van,Lytle Creek
70,"Tailspin Toys (New Baden, IL)",Novelty Shop,Mariana Fierro,(217) 555-0100,(217) 555-0101,http://www.tailspintoys.com/NewBaden,Delivery Van,New Baden
71,"Tailspin Toys (Good Hart, MI)",Novelty Shop,Afshin Djalili,(231) 555-0100,(231) 555-0101,http://www.tailspintoys.com/GoodHart,Delivery Van,Good Hart
72,"Tailspin Toys (Cortaro, AZ)",Novelty Shop,Bianh Phan,(480) 555-0100,(480) 555-0101,http://www.tailspintoys.com/Cortaro,Delivery Van,Cortaro
73,"Tailspin Toys (Cokato, MN)",Novelty Shop,Koknesis Vitols,(218) 555-0100,(218) 555-0101,http://www.tailspintoys.com/Cokato,Delivery Van,Cokato
74,"Tailspin Toys (Indios, PR)",Novelty Shop,Roxane Rastgu,(787) 555-0100,(787) 555-0101,http://www.tailspintoys.com/Indios,Delivery Van,Indios
75,"Tailspin Toys (Windsor Locks, CT)",Novelty Shop,Vlasta Srbova,(203) 555-0100,(203) 555-0101,http://www.tailspintoys.com/WindsorLocks,Delivery Van,Windsor Locks
76,"Tailspin Toys (Yewed, OK)",Novelty Shop,Lata Babu,(405) 555-0100,(405) 555-0101,http://www.tailspintoys.com/Yewed,Delivery Van,Yewed
77,"Tailspin Toys (Hahira, GA)",Novelty Shop,Airi Vassiljev,(229) 555-0100,(229) 555-0101,http://www.tailspintoys.com/Hahira,Delivery Van,Hahira
78,"Tailspin Toys (Sekiu, WA)",Novelty Shop,Duleep Walia,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/Sekiu,Delivery Van,Sekiu
79,"Tailspin Toys (Page City, KS)",Novelty Shop,Matyas Macek,(316) 555-0100,(316) 555-0101,http://www.tailspintoys.com/PageCity,Delivery Van,Page City
80,"Tailspin Toys (Valdese, NC)",Novelty Shop,Bharat Ankitham,(252) 555-0100,(252) 555-0101,http://www.tailspintoys.com/Valdese,Delivery Van,Valdese
81,"Tailspin Toys (Big Moose, NY)",Novelty Shop,Vera Kubatova,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/BigMoose,Delivery Van,Big Moose
82,"Tailspin Toys (La Cueva, NM)",Novelty Shop,Rakesh Nishad,(505) 555-0100,(505) 555-0101,http://www.tailspintoys.com/LaCueva,Delivery Van,La Cueva
83,"Tailspin Toys (Absecon, NJ)",Novelty Shop,Sang Tran,(201) 555-0100,(201) 555-0101,http://www.tailspintoys.com/Absecon,Delivery Van,Absecon
84,"Tailspin Toys (Aceitunas, PR)",Novelty Shop,Eekalabya Bose,(787) 555-0100,(787) 555-0101,http://www.tailspintoys.com/Aceitunas,Delivery Van,Aceitunas
85,"Tailspin Toys (Andrix, CO)",Novelty Shop,Tommy Kilpi,(303) 555-0100,(303) 555-0101,http://www.tailspintoys.com/Andrix,Delivery Van,Andrix
86,"Tailspin Toys (New Lexington, OH)",Novelty Shop,Andrea Ricci,(216) 555-0100,(216) 555-0101,http://www.tailspintoys.com/NewLexington,Delivery Van,New Lexington
87,"Tailspin Toys (Sauquoit, NY)",Novelty Shop,Isabell  Duperre,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/Sauquoit,Delivery Van,Sauquoit
88,"Tailspin Toys (Dracut, MA)",Novelty Shop,Amarendra Ankitham,(339) 555-0100,(339) 555-0101,http://www.tailspintoys.com/Dracut,Delivery Van,Dracut
89,"Tailspin Toys (Victory Gardens, NJ)",Novelty Shop,Aakarsha Nookala,(201) 555-0100,(201) 555-0101,http://www.tailspintoys.com/VictoryGardens,Delivery Van,Victory Gardens
90,"Tailspin Toys (Tolna, ND)",Novelty Shop,Stanislav Sedlar,(701) 555-0100,(701) 555-0101,http://www.tailspintoys.com/Tolna,Delivery Van,Tolna
91,"Tailspin Toys (Alstead, NH)",Novelty Shop,GokCe Karaca,(603) 555-0100,(603) 555-0101,http://www.tailspintoys.com/Alstead,Delivery Van,Alstead
92,"Tailspin Toys (Sans Souci, SC)",Novelty Shop,Coralie Emond,(803) 555-0100,(803) 555-0101,http://www.tailspintoys.com/SansSouci,Delivery Van,Sans Souci
93,"Tailspin Toys (Clewiston, FL)",Novelty Shop,Karina Celmina,(239) 555-0100,(239) 555-0101,http://www.tailspintoys.com/Clewiston,Delivery Van,Clewiston
94,"Tailspin Toys (Cheyenne Wells, CO)",Novelty Shop,Teresa Pisani,(303) 555-0100,(303) 555-0101,http://www.tailspintoys.com/CheyenneWells,Delivery Van,Cheyenne Wells
95,"Tailspin Toys (Lavon, TX)",Novelty Shop,Alba Ponce,(210) 555-0100,(210) 555-0101,http://www.tailspintoys.com/Lavon,Delivery Van,Lavon
96,"Tailspin Toys (South La Paloma, TX)",Novelty Shop,Piper Leigh,(210) 555-0100,(210) 555-0101,http://www.tailspintoys.com/SouthLaPaloma,Delivery Van,South La Paloma
97,"Tailspin Toys (Manchester Center, VT)",Novelty Shop,Karie Seymour,(802) 555-0100,(802) 555-0101,http://www.tailspintoys.com/ManchesterCenter,Delivery Van,Manchester Center
98,"Tailspin Toys (El Centro, CA)",Novelty Shop,Timea Peto,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/ElCentro,Delivery Van,El Centro
99,"Tailspin Toys (Guin, AL)",Novelty Shop,Victoria Ene,(205) 555-0100,(205) 555-0101,http://www.tailspintoys.com/Guin,Delivery Van,Guin
100,"Tailspin Toys (Tunnelhill, PA)",Novelty Shop,Bhavani Bhowmick,(215) 555-0100,(215) 555-0101,http://www.tailspintoys.com/Tunnelhill,Delivery Van,Tunnelhill
101,"Tailspin Toys (Cundiyo, NM)",Novelty Shop,Yasmine Berggren,(505) 555-0100,(505) 555-0101,http://www.tailspintoys.com/Cundiyo,Delivery Van,Cundiyo
102,"Tailspin Toys (Fieldbrook, CA)",Novelty Shop,Tea Koppel,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/Fieldbrook,Delivery Van,Fieldbrook
103,"Tailspin Toys (Kalvesta, KS)",Novelty Shop,Naseem Radan,(316) 555-0100,(316) 555-0101,http://www.tailspintoys.com/Kalvesta,Delivery Van,Kalvesta
104,"Tailspin Toys (Wallagrass, ME)",Novelty Shop,Laboni Deb,(207) 555-0100,(207) 555-0101,http://www.tailspintoys.com/Wallagrass,Delivery Van,Wallagrass
105,"Tailspin Toys (Tomnolen, MS)",Novelty Shop,Sung-Hwan Hwang,(228) 555-0100,(228) 555-0101,http://www.tailspintoys.com/Tomnolen,Delivery Van,Tomnolen
106,"Tailspin Toys (Tumacacori, AZ)",Novelty Shop,Shiva Pipalia,(480) 555-0100,(480) 555-0101,http://www.tailspintoys.com/Tumacacori,Delivery Van,Tumacacori
107,"Tailspin Toys (Glen Avon, CA)",Novelty Shop,Karie Mercier,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/GlenAvon,Delivery Van,Glen Avon
108,"Tailspin Toys (Bernie, MO)",Novelty Shop,Bhanu Thota,(314) 555-0100,(314) 555-0101,http://www.tailspintoys.com/Bernie,Delivery Van,Bernie
109,"Tailspin Toys (South Laguna, CA)",Novelty Shop,Ae-Cha Joo,(209) 555-0100,(209) 555-0101,http://www.tailspintoys.com/SouthLaguna,Delivery Van,South Laguna
110,"Tailspin Toys (North Crows Nest, IN)",Novelty Shop,Dinara Saparkyzy,(219) 555-0100,(219) 555-0101,http://www.tailspintoys.com/NorthCrowsNest,Delivery Van,North Crows Nest
111,"Tailspin Toys (Oriole Beach, FL)",Novelty Shop,Adam Dvorak,(239) 555-0100,(239) 555-0101,http://www.tailspintoys.com/OrioleBeach,Delivery Van,Oriole Beach
112,"Tailspin Toys (Sallyards, KS)",Novelty Shop,Ingrida Celmina,(316) 555-0100,(316) 555-0101,http://www.tailspintoys.com/Sallyards,Delivery Van,Sallyards
113,"Tailspin Toys (Dahlia, NM)",Novelty Shop,Jae-Hwa Jang,(505) 555-0100,(505) 555-0101,http://www.tailspintoys.com/Dahlia,Delivery Van,Dahlia
114,"Tailspin Toys (Cherry Grove Beach, SC)",Novelty Shop,Duck-Hwan Bae,(803) 555-0100,(803) 555-0101,http://www.tailspintoys.com/CherryGroveBeach,Delivery Van,Cherry Grove Beach
115,"Tailspin Toys (Bethania, NC)",Novelty Shop,Jagoda Vasiljevic,(252) 555-0100,(252) 555-0101,http://www.tailspintoys.com/Bethania,Delivery Van,Bethania
116,"Tailspin Toys (Rafael Capó, PR)",Novelty Shop,Toma Nastase,(787) 555-0100,(787) 555-0101,http://www.tailspintoys.com/RafaelCapó,Delivery Van,Rafael Capó
117,"Tailspin Toys (Scofield, UT)",Novelty Shop,Valerio Cardoso,(385) 555-0100,(385) 555-0101,http://www.tailspintoys.com/Scofield,Delivery Van,Scofield
118,"Tailspin Toys (Vassalboro, ME)",Novelty Shop,Ileana Aguilar,(207) 555-0100,(207) 555-0101,http://www.tailspintoys.com/Vassalboro,Delivery Van,Vassalboro
119,"Tailspin Toys (Statenville, GA)",Novelty Shop,Tjasa Weitzer,(229) 555-0100,(229) 555-0101,http://www.tailspintoys.com/Statenville,Delivery Van,Statenville
120,"Tailspin Toys (Bratenahl, OH)",Novelty Shop,Lucas Van Veenen,(216) 555-0100,(216) 555-0101,http://www.tailspintoys.com/Bratenahl,Delivery Van,Bratenahl
121,"Tailspin Toys (Elrosa, MN)",Novelty Shop,Steven Frasier,(218) 555-0100,(218) 555-0101,http://www.tailspintoys.com/Elrosa,Delivery Van,Elrosa
122,"Tailspin Toys (McClave, CO)",Novelty Shop,Mauri Enestam,(303) 555-0100,(303) 555-0101,http://www.tailspintoys.com/McClave,Delivery Van,McClave
123,"Tailspin Toys (Roe Park, NY)",Novelty Shop,Ella Zvirbule,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/RoePark,Delivery Van,Roe Park
124,"Tailspin Toys (Hanoverton, OH)",Novelty Shop,Sevim AydÄ±n,(216) 555-0100,(216) 555-0101,http://www.tailspintoys.com/Hanoverton,Delivery Van,Hanoverton
125,"Tailspin Toys (Annamoriah, WV)",Novelty Shop,Blanka Stavinohova,(304) 555-0100,(304) 555-0101,http://www.tailspintoys.com/Annamoriah,Delivery Van,Annamoriah
126,"Tailspin Toys (Francis Mills, NJ)",Novelty Shop,Akanksha Iyengar,(201) 555-0100,(201) 555-0101,http://www.tailspintoys.com/FrancisMills,Delivery Van,Francis Mills
127,"Tailspin Toys (Point Roberts, WA)",Novelty Shop,Kertu Smirnov,(206) 555-0100,(206) 555-0101,http://www.tailspintoys.com/PointRoberts,Delivery Van,Point Roberts
128,"Tailspin Toys (East Portal, CO)",Novelty Shop,Jure Grabensek,(303) 555-0100,(303) 555-0101,http://www.tailspintoys.com/EastPortal,Delivery Van,East Portal
129,"Tailspin Toys (Mineral Hills, MI)",Novelty Shop,Javiera Madera,(231) 555-0100,(231) 555-0101,http://www.tailspintoys.com/MineralHills,Delivery Van,Mineral Hills
130,"Tailspin Toys (Maple Shade, NJ)",Novelty Shop,Aija Mottola,(201) 555-0100,(201) 555-0101,http://www.tailspintoys.com/MapleShade,Delivery Van,Maple Shade
131,"Tailspin Toys (Kwethluk, AK)",Novelty Shop,Darshan Gupta,(907) 555-0100,(907) 555-0101,http://www.tailspintoys.com/Kwethluk,Delivery Van,Kwethluk
132,"Tailspin Toys (Minidoka, ID)",Novelty Shop,Akanksha Sarma,(208) 555-0100,(208) 555-0101,http://www.tailspintoys.com/Minidoka,Delivery Van,Minidoka
133,"Tailspin Toys (Lake Erie Beach, NY)",Novelty Shop,Aino Kallas,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/LakeErieBeach,Delivery Van,Lake Erie Beach
134,"Tailspin Toys (Tavares, FL)",Novelty Shop,An Dung Phung,(239) 555-0100,(239) 555-0101,http://www.tailspintoys.com/Tavares,Delivery Van,Tavares
135,"Tailspin Toys (Terre du Lac, MO)",Novelty Shop,Gaurav Sikdar,(314) 555-0100,(314) 555-0101,http://www.tailspintoys.com/TerreduLac,Delivery Van,Terre du Lac
136,"Tailspin Toys (Mount Montgomery, NV)",Novelty Shop,Anirban Sen,(702) 555-0100,(702) 555-0101,http://www.tailspintoys.com/MountMontgomery,Delivery Van,Mount Montgomery
137,"Tailspin Toys (Carbonville, UT)",Novelty Shop,Chandrakanta Benjaree,(385) 555-0100,(385) 555-0101,http://www.tailspintoys.com/Carbonville,Delivery Van,Carbonville
138,"Tailspin Toys (Navassa, NC)",Novelty Shop,Badari Chadalavada,(252) 555-0100,(252) 555-0101,http://www.tailspintoys.com/Navassa,Delivery Van,Navassa
139,"Tailspin Toys (Hardeeville, SC)",Novelty Shop,Gabriele Udinesi,(803) 555-0100,(803) 555-0101,http://www.tailspintoys.com/Hardeeville,Delivery Van,Hardeeville
140,"Tailspin Toys (Furley, KS)",Novelty Shop,Malay PrabhupÄda,(316) 555-0100,(316) 555-0101,http://www.tailspintoys.com/Furley,Delivery Van,Furley
141,"Tailspin Toys (Arrow Rock, MO)",Novelty Shop,Hedi Koppel,(314) 555-0100,(314) 555-0101,http://www.tailspintoys.com/ArrowRock,Delivery Van,Arrow Rock
142,"Tailspin Toys (King Cove, AK)",Novelty Shop,Denisa Ioveanu,(907) 555-0100,(907) 555-0101,http://www.tailspintoys.com/KingCove,Delivery Van,King Cove
143,"Tailspin Toys (Ashtabula, OH)",Novelty Shop,Vaclav Polaskova,(216) 555-0100,(216) 555-0101,http://www.tailspintoys.com/Ashtabula,Delivery Van,Ashtabula
144,"Tailspin Toys (Larose, LA)",Novelty Shop,Pramod Nishad,(225) 555-0100,(225) 555-0101,http://www.tailspintoys.com/Larose,Delivery Van,Larose
145,"Tailspin Toys (Manahawkin, NJ)",Novelty Shop,Prasong Tuntayakul,(201) 555-0100,(201) 555-0101,http://www.tailspintoys.com/Manahawkin,Delivery Van,Manahawkin
146,"Tailspin Toys (Belgreen, AL)",Novelty Shop,Aija Zvaigzne,(205) 555-0100,(205) 555-0101,http://www.tailspintoys.com/Belgreen,Delivery Van,Belgreen
147,"Tailspin Toys (Fishtail, MT)",Novelty Shop,Gilbert Pelland,(406) 555-0100,(406) 555-0101,http://www.tailspintoys.com/Fishtail,Delivery Van,Fishtail
148,"Tailspin Toys (Baraboo, WI)",Novelty Shop,Marcella Napolitani,(262) 555-0100,(262) 555-0101,http://www.tailspintoys.com/Baraboo,Delivery Van,Baraboo
149,"Tailspin Toys (Inguadona, MN)",Novelty Shop,Femke Hollenberg,(218) 555-0100,(218) 555-0101,http://www.tailspintoys.com/Inguadona,Delivery Van,Inguadona
150,"Tailspin Toys (Corfu, NY)",Novelty Shop,Brita Jarvi,(212) 555-0100,(212) 555-0101,http://www.tailspintoys.com/Corfu,Delivery Van,Corfu
151,"Tailspin Toys (Antares, AZ)",Novelty Shop,Donato Araujo,(480) 555-0100,(480) 555-0101,http://www.tailspintoys.com/Antares,Delivery Van,Antares
152,"Tailspin Toys (Sun River, MT)",Novelty Shop,Aleksander Jarvi,(406) 555-0100,(406) 555-0101,http://www.tailspintoys.com/SunRiver,Delivery Van,Sun River
153,"Tailspin Toys (Marcell, MN)",Novelty Shop,Malati Shenoy,(218) 555-0100,(218) 555-0101,http://www.tailspintoys.com/Marcell,Delivery Van,Marcell
