InvoiceLineID,Description,CustomerName,CityState,Sales
222502,Furry gorilla with big eyes slippers (Black) XL,Allan Mannik,Lake Crystal (Minnesota),38
221938,Small sized bubblewrap roll 10m,Mikhail Degtyarev,Beaver Bay (Minnesota),75
221939,Void fill 400 L bag (White) 400L,Mikhail Degtyarev,Beaver Bay (Minnesota),375
221940,Bubblewrap dispenser (Red) 1.5m,Mikhail Degtyarev,Beaver Bay (Minnesota),180
221941,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",Mikhail Degtyarev,Beaver Bay (Minnesota),194
221942,Shipping carton (Brown) 480x270x320mm,Mikhail Degtyarev,Beaver Bay (Minnesota),79
221945,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL","Wingtip Toys (Sarversville, PA)",Sarversville (Pennsylvania),130
221946,Superhero action jacket (Blue) XXS,"Wingtip Toys (Sarversville, PA)",Sarversville (Pennsylvania),11
222897,Small 9mm replacement blades 9mm,"Tailspin Toys (Avenal, CA)",Avenal (California),36
222898,Dinosaur battery-powered slippers (Green) S,"Tailspin Toys (Avenal, CA)",Avenal (California),38
222899,"""The Gu"" red shirt XML tag t-shirt (White) 4XL","Tailspin Toys (Avenal, CA)",Avenal (California),97
222900,Developer joke mug - inheritance is the OO way to become wealthy (Black),"Tailspin Toys (Avenal, CA)",Avenal (California),18
221950,USB food flash drive - sushi roll,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),4
221951,Pack of 12 action figures (variety),"Tailspin Toys (Caselton, NV)",Caselton (Nevada),19
222572,Black and yellow heavy despatch tape 48mmx100m,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),101
222573,DBA joke mug - two types of DBAs (White),"Tailspin Toys (Caselton, NV)",Caselton (Nevada),10
222574,Packing knife with metal insert blade (Yellow) 18mm,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),5
222575,32 mm Anti static bubble wrap (Blue) 50m,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),473
222741,20 mm Double sided bubble wrap 10m,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),189
222742,"""The Gu"" red shirt XML tag t-shirt (White) XXL","Tailspin Toys (Caselton, NV)",Caselton (Nevada),227
222743,Furry animal socks (Pink) XL,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),72
222744,Halloween skull mask (Gray) S,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),130
222745,Office cube periscope (Black),"Tailspin Toys (Caselton, NV)",Caselton (Nevada),228
222785,20 mm Anti static bubble wrap (Blue) 20m,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),675
222786,Plush shark slippers (Gray) M,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),29
222787,RC big wheel monster truck with remote control (Black) 1/50 scale,"Tailspin Toys (Caselton, NV)",Caselton (Nevada),7
222484,USB food flash drive - hamburger,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),4
222485,32 mm Double sided bubble wrap 20m,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),389
222486,Clear packaging tape 48mmx100m,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),12
222496,Developer joke mug - a foo walks into a bar (Black),"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),20
222497,Air cushion film 200mmx200mm 325m,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),27
222498,Chocolate sharks 250g,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),108
222499,Developer joke mug - understanding recursion requires understanding recursion (Black),"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),8
222500,Alien officer hoodie (Black) XXL,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),37
222513,Developer joke mug - there are 10 types of people in the world (Black),"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),8
222514,Medium sized bubblewrap roll 20m,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),300
222515,Animal with big feet slippers (Brown) S,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),14
222516,Developer joke mug - Oct 31 = Dec 25 (White),"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),6
222517,Black and orange glass with care despatch tape  48mmx100m,"Tailspin Toys (Hedrick, IA)",Hedrick (Iowa),115
222177,"""The Gu"" red shirt XML tag t-shirt (Black) XS","Tailspin Toys (North Ridge, NY)",North Ridge (New York),227
222178,IT joke mug - hardware: part of the computer that can be kicked (Black),"Tailspin Toys (North Ridge, NY)",North Ridge (New York),20
222179,Superhero action jacket (Blue) XXS,"Tailspin Toys (North Ridge, NY)",North Ridge (New York),8
222180,Clear packaging tape 48mmx75m,"Tailspin Toys (North Ridge, NY)",North Ridge (New York),59
222181,Novelty chilli chocolates 500g,"Tailspin Toys (North Ridge, NY)",North Ridge (New York),144
221960,Halloween skull mask (Gray) XL,"Wingtip Toys (Caton, NY)",Caton (New York),162
221961,White chocolate snow balls 250g,"Wingtip Toys (Caton, NY)",Caton (New York),151
221962,IT joke mug - that behavior is by design (Black),"Wingtip Toys (Caton, NY)",Caton (New York),10
222619,Tape dispenser (Blue),"Tailspin Toys (Maypearl, TX)",Maypearl (Texas),480
222620,3 kg Courier post bag (White) 300x190x95mm,"Tailspin Toys (Maypearl, TX)",Maypearl (Texas),26
222621,Black and orange this way up despatch tape 48mmx75m,"Tailspin Toys (Maypearl, TX)",Maypearl (Texas),115
222250,USB food flash drive - hot dog,"Tailspin Toys (Boyden Arbor, SC)",Boyden Arbor (South Carolina),7
222251,Novelty chilli chocolates 500g,"Tailspin Toys (Boyden Arbor, SC)",Boyden Arbor (South Carolina),108
221968,Superhero action jacket (Blue) L,"Wingtip Toys (East Fultonham, OH)",East Fultonham (Ohio),14
221969,Chocolate beetles 250g,"Wingtip Toys (East Fultonham, OH)",East Fultonham (Ohio),65
221970,32 mm Double sided bubble wrap 20m,"Wingtip Toys (East Fultonham, OH)",East Fultonham (Ohio),555
221971,Superhero action jacket (Blue) 3XS,"Wingtip Toys (East Fultonham, OH)",East Fultonham (Ohio),23
221972,Red and white urgent  heavy despatch tape  48mmx100m,"Wingtip Toys (East Fultonham, OH)",East Fultonham (Ohio),58
221973,Developer joke mug - old C developers never die (White),Anil Sarkar,Gardners (Pennsylvania),12
221974,Halloween skull mask (Gray) M,Anil Sarkar,Gardners (Pennsylvania),162
221975,Superhero action jacket (Blue) S,Anil Sarkar,Gardners (Pennsylvania),15
221976,32 mm Double sided bubble wrap 20m,Anil Sarkar,Gardners (Pennsylvania),56
221977,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",Anil Sarkar,Gardners (Pennsylvania),32
222832,"""The Gu"" red shirt XML tag t-shirt (White) L",Anil Sarkar,Gardners (Pennsylvania),194
222833,Plush shark slippers (Gray) S,Anil Sarkar,Gardners (Pennsylvania),24
222797,Developer joke mug - understanding recursion requires understanding recursion (White),"Tailspin Toys (Arietta, NY)",Arietta (New York),14
222798,White chocolate snow balls 250g,"Tailspin Toys (Arietta, NY)",Arietta (New York),86
222799,Alien officer hoodie (Black) 3XL,"Tailspin Toys (Arietta, NY)",Arietta (New York),5
222800,RC vintage American toy coupe with remote control (Black) 1/50 scale,"Tailspin Toys (Arietta, NY)",Arietta (New York),9
222801,32 mm Double sided bubble wrap 50m,"Tailspin Toys (Arietta, NY)",Arietta (New York),1512
221982,DBA joke mug - two types of DBAs (Black),Daakshaayaani Kommineni,Bakers Mill (Florida),14
221983,Air cushion machine (Blue),Daakshaayaani Kommineni,Bakers Mill (Florida),2279
221984,Black and orange handle with care despatch tape  48mmx75m,Daakshaayaani Kommineni,Bakers Mill (Florida),58
222666,Ogre battery-powered slippers (Green) XL,"Tailspin Toys (Severna Park, MD)",Severna Park (Maryland),5
222667,Developer joke mug - that's a hardware problem (Black),"Tailspin Toys (Severna Park, MD)",Severna Park (Maryland),2
222534,10 mm Double sided bubble wrap 20m,"Tailspin Toys (Lake Hughes, CA)",Lake Hughes (California),90
222535,Medium sized bubblewrap roll 20m,"Tailspin Toys (Lake Hughes, CA)",Lake Hughes (California),240
222536,IT joke mug - hardware: part of the computer that can be kicked (White),"Tailspin Toys (Lake Hughes, CA)",Lake Hughes (California),6
222537,Air cushion film 200mmx200mm 325m,"Tailspin Toys (Lake Hughes, CA)",Lake Hughes (California),14
221988,Chocolate beetles 250g,"Wingtip Toys (Cloquet, MN)",Cloquet (Minnesota),173
221989,Air cushion film 200mmx100mm 325m,"Wingtip Toys (Cloquet, MN)",Cloquet (Minnesota),104
221990,Ogre battery-powered slippers (Green) L,"Wingtip Toys (Cloquet, MN)",Cloquet (Minnesota),48
221991,Permanent marker blue 5mm nib (Blue) 5mm,"Wingtip Toys (Cloquet, MN)",Cloquet (Minnesota),16
222837,Plush shark slippers (Gray) M,"Wingtip Toys (Cloquet, MN)",Cloquet (Minnesota),24
222838,Dinosaur battery-powered slippers (Green) S,"Wingtip Toys (Cloquet, MN)",Cloquet (Minnesota),10
222237,32 mm Anti static bubble wrap (Blue) 50m,"Tailspin Toys (Trentwood, WA)",Trentwood (Washington),473
222238,DBA joke mug - two types of DBAs (White),"Tailspin Toys (Trentwood, WA)",Trentwood (Washington),2
222239,USB food flash drive - pizza slice,"Tailspin Toys (Trentwood, WA)",Trentwood (Washington),6
222240,Developer joke mug - this code was generated by a tool (White),"Tailspin Toys (Trentwood, WA)",Trentwood (Washington),8
222241,Tape dispenser (Black),"Tailspin Toys (Trentwood, WA)",Trentwood (Washington),384
222551,Pack of 12 action figures (male),"Tailspin Toys (Hambleton, WV)",Hambleton (West Virginia),5
222552,10 mm Double sided bubble wrap 10m,"Tailspin Toys (Hambleton, WV)",Hambleton (West Virginia),113
222553,Alien officer hoodie (Black) 4XL,"Tailspin Toys (Hambleton, WV)",Hambleton (West Virginia),53
222554,Red and white urgent  heavy despatch tape  48mmx100m,"Tailspin Toys (Hambleton, WV)",Hambleton (West Virginia),86
222555,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL","Tailspin Toys (Hambleton, WV)",Hambleton (West Virginia),32
221997,32 mm Double sided bubble wrap 50m,Nasrin Omidzadeh,Mary Esther (Florida),1680
221998,Alien officer hoodie (Black) XXL,Nasrin Omidzadeh,Mary Esther (Florida),11
221999,Black and yellow heavy despatch tape 48mmx100m,Nasrin Omidzadeh,Mary Esther (Florida),14
222007,RC toy sedan car with remote control (Black) 1/50 scale,Edgar Jogi,Bombay Beach (California),4
222008,Developer joke mug - there are 10 types of people in the world (Black),Edgar Jogi,Bombay Beach (California),6
222212,Animal with big feet slippers (Brown) M,"Tailspin Toys (Royal City, WA)",Royal City (Washington),34
222213,Furry animal socks (Pink) S,"Tailspin Toys (Royal City, WA)",Royal City (Washington),45
222214,Tape dispenser (Blue),"Tailspin Toys (Royal City, WA)",Royal City (Washington),288
222215,Black and orange fragile despatch tape 48mmx100m,"Tailspin Toys (Royal City, WA)",Royal City (Washington),216
222009,Developer joke mug - when your hammer is C++ (White),"Wingtip Toys (Shay, PA)",Shay (Pennsylvania),8
222010,Halloween skull mask (Gray) M,"Wingtip Toys (Shay, PA)",Shay (Pennsylvania),259
222011,Shipping carton (Brown) 480x270x320mm,"Wingtip Toys (Shay, PA)",Shay (Pennsylvania),11
222012,Ride on toy sedan car (Yellow) 1/12 scale,"Wingtip Toys (Miesville, MN)",Miesville (Minnesota),242
222013,Shipping carton (Brown) 356x356x279mm,"Wingtip Toys (Miesville, MN)",Miesville (Minnesota),75
222638,Black and orange handle with care despatch tape  48mmx75m,"Wingtip Toys (Miesville, MN)",Miesville (Minnesota),115
222639,Plush shark slippers (Gray) M,"Wingtip Toys (Miesville, MN)",Miesville (Minnesota),10
222640,Shipping carton (Brown) 279x254x217mm,"Wingtip Toys (Miesville, MN)",Miesville (Minnesota),26
222014,Developer joke mug - fun was unexpected at this time (White),Sabine Alksne,Grannis (Arkansas),20
222015,Ride on toy sedan car (Blue) 1/12 scale,Sabine Alksne,Grannis (Arkansas),35
222207,20 mm Anti static bubble wrap (Blue) 20m,Sabine Alksne,Grannis (Arkansas),608
222208,10 mm Anti static bubble wrap (Blue) 10m,Sabine Alksne,Grannis (Arkansas),78
222209,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",Sabine Alksne,Grannis (Arkansas),65
222210,Superhero action jacket (Blue) 4XL,Sabine Alksne,Grannis (Arkansas),31
222211,RC toy sedan car with remote control (Blue) 1/50 scale,Sabine Alksne,Grannis (Arkansas),15
222016,RC toy sedan car with remote control (Blue) 1/50 scale,Biju Deb,Deer River (Minnesota),19
222017,"""The Gu"" red shirt XML tag t-shirt (White) S",Biju Deb,Deer River (Minnesota),227
222018,Superhero action jacket (Blue) M,Biju Deb,Deer River (Minnesota),36
222059,32 mm Double sided bubble wrap 50m,"Tailspin Toys (North Cowden, TX)",North Cowden (Texas),1344
222060,Black and orange glass with care despatch tape  48mmx100m,"Tailspin Toys (North Cowden, TX)",North Cowden (Texas),130
222061,Animal with big feet slippers (Brown) M,"Tailspin Toys (North Cowden, TX)",North Cowden (Texas),38
222062,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL","Tailspin Toys (North Cowden, TX)",North Cowden (Texas),65
222063,DBA joke mug - it depends (Black),"Tailspin Toys (North Cowden, TX)",North Cowden (Texas),4
222346,Developer joke mug - fun was unexpected at this time (White),"Tailspin Toys (North Cowden, TX)",North Cowden (Texas),16
222347,"""The Gu"" red shirt XML tag t-shirt (Black) M","Tailspin Toys (North Cowden, TX)",North Cowden (Texas),227
222348,32 mm Double sided bubble wrap 50m,"Tailspin Toys (North Cowden, TX)",North Cowden (Texas),504
222349,Shipping carton (Brown) 413x285x187mm,"Tailspin Toys (North Cowden, TX)",North Cowden (Texas),34
222019,DBA joke mug - mind if I join you? (Black),"Tailspin Toys (Baraboo, WI)",Baraboo (Wisconsin),16
222020,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL","Tailspin Toys (Baraboo, WI)",Baraboo (Wisconsin),162
222021,20 mm Anti static bubble wrap (Blue) 20m,"Tailspin Toys (Baraboo, WI)",Baraboo (Wisconsin),68
222022,Furry gorilla with big eyes slippers (Black) S,"Tailspin Toys (Big Moose, NY)",Big Moose (New York),5
222023,Developer joke mug - when your hammer is C++ (Black),"Tailspin Toys (Big Moose, NY)",Big Moose (New York),8
222024,10 mm Anti static bubble wrap (Blue) 50m,"Tailspin Toys (Big Moose, NY)",Big Moose (New York),1188
222025,Permanent marker red 5mm nib (Red) 5mm,"Tailspin Toys (Big Moose, NY)",Big Moose (New York),11
222026,Developer joke mug - understanding recursion requires understanding recursion (White),"Tailspin Toys (Big Moose, NY)",Big Moose (New York),4
222732,IT joke mug - that behavior is by design (Black),"Tailspin Toys (Cokato, MN)",Cokato (Minnesota),14
222733,IT joke mug - hardware: part of the computer that can be kicked (Black),"Tailspin Toys (Cokato, MN)",Cokato (Minnesota),20
222734,Plush shark slippers (Gray) L,"Tailspin Toys (Cokato, MN)",Cokato (Minnesota),34
222735,Furry animal socks (Pink) L,"Tailspin Toys (Cokato, MN)",Cokato (Minnesota),27
222736,Black and yellow heavy despatch tape  48mmx75m,"Tailspin Toys (Cokato, MN)",Cokato (Minnesota),144
222027,Clear packaging tape 48mmx75m,"Wingtip Toys (Plum Branch, SC)",Plum Branch (South Carolina),70
222028,"""The Gu"" red shirt XML tag t-shirt (White) XL","Wingtip Toys (Plum Branch, SC)",Plum Branch (South Carolina),130
222029,Superhero action jacket (Blue) 3XL,"Wingtip Toys (Plum Branch, SC)",Plum Branch (South Carolina),5
222030,Furry gorilla with big eyes slippers (Black) S,"Wingtip Toys (Plum Branch, SC)",Plum Branch (South Carolina),38
222503,32 mm Double sided bubble wrap 20m,"Tailspin Toys (Windsor Locks, CT)",Windsor Locks (Connecticut),444
222504,USB food flash drive - dessert 10 drive variety pack,"Tailspin Toys (Windsor Locks, CT)",Windsor Locks (Connecticut),32
222505,USB food flash drive - donut,"Tailspin Toys (Windsor Locks, CT)",Windsor Locks (Connecticut),5
222036,Furry gorilla with big eyes slippers (Black) S,Malorie Bousquet,Valley View Park (California),43
222037,"""The Gu"" red shirt XML tag t-shirt (White) XL",Malorie Bousquet,Valley View Park (California),97
222038,Superhero action jacket (Blue) XL,Malorie Bousquet,Valley View Park (California),14
222039,RC toy sedan car with remote control (Yellow) 1/50 scale,Malorie Bousquet,Valley View Park (California),34
222045,White chocolate snow balls 250g,"Wingtip Toys (White Church, MO)",White Church (Missouri),43
222046,10 mm Anti static bubble wrap (Blue) 50m,"Wingtip Toys (White Church, MO)",White Church (Missouri),1040
222047,Shipping carton (Brown) 229x229x229mm,"Wingtip Toys (White Church, MO)",White Church (Missouri),23
222048,RC big wheel monster truck with remote control (Black) 1/50 scale,"Wingtip Toys (White Church, MO)",White Church (Missouri),7
222506,DBA joke mug - mind if I join you? (Black),"Wingtip Toys (White Church, MO)",White Church (Missouri),14
222507,Alien officer hoodie (Black) XXL,"Wingtip Toys (White Church, MO)",White Church (Missouri),42
222508,Alien officer hoodie (Black) 3XL,"Wingtip Toys (White Church, MO)",White Church (Missouri),21
222549,Permanent marker red 5mm nib (Red) 5mm,"Wingtip Toys (White Church, MO)",White Church (Missouri),54
222550,IT joke mug - keyboard not found … press F1 to continue (Black),"Wingtip Toys (White Church, MO)",White Church (Missouri),10
222422,Void fill 400 L bag (White) 400L,"Tailspin Toys (New Lexington, OH)",New Lexington (Ohio),150
222423,Dinosaur battery-powered slippers (Green) S,"Tailspin Toys (New Lexington, OH)",New Lexington (Ohio),24
222049,Alien officer hoodie (Black) 4XL,"Tailspin Toys (Hanoverton, OH)",Hanoverton (Ohio),5
222050,Void fill 400 L bag (White) 400L,"Tailspin Toys (Hanoverton, OH)",Hanoverton (Ohio),675
222051,Large  replacement blades 18mm,"Tailspin Toys (Hanoverton, OH)",Hanoverton (Ohio),12
222053,"""The Gu"" red shirt XML tag t-shirt (Black) XL","Wingtip Toys (Oak Point, TX)",Oak Point (Texas),162
222648,10 mm Double sided bubble wrap 20m,"Wingtip Toys (Oak Point, TX)",Oak Point (Texas),405
222649,20 mm Double sided bubble wrap 10m,"Wingtip Toys (Oak Point, TX)",Oak Point (Texas),243
222650,Alien officer hoodie (Black) XL,"Wingtip Toys (Oak Point, TX)",Oak Point (Texas),53
222054,"""The Gu"" red shirt XML tag t-shirt (White) M",Olya Izmaylov,Flowella (Texas),130
222873,Pack of 12 action figures (female),Olya Izmaylov,Flowella (Texas),19
222874,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",Olya Izmaylov,Flowella (Texas),32
222875,IT joke mug - hardware: part of the computer that can be kicked (White),Olya Izmaylov,Flowella (Texas),20
222876,Superhero action jacket (Blue) L,Olya Izmaylov,Flowella (Texas),9
222055,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL","Tailspin Toys (Scofield, UT)",Scofield (Utah),324
222056,Halloween skull mask (Gray) S,"Tailspin Toys (Scofield, UT)",Scofield (Utah),227
222751,Ogre battery-powered slippers (Green) M,"Tailspin Toys (Scofield, UT)",Scofield (Utah),29
222752,Developer joke mug - when your hammer is C++ (White),"Tailspin Toys (Scofield, UT)",Scofield (Utah),10
222753,Novelty chilli chocolates 250g,"Tailspin Toys (Scofield, UT)",Scofield (Utah),86
222057,Developer joke mug - there are 10 types of people in the world (Black),Dhanishta Pullela,Gallipolis Ferry (West Virginia),6
222058,White chocolate snow balls 250g,Dhanishta Pullela,Gallipolis Ferry (West Virginia),65
222558,USB food flash drive - donut,Dhanishta Pullela,Gallipolis Ferry (West Virginia),5
222559,Permanent marker black 5mm nib (Black) 5mm,Dhanishta Pullela,Gallipolis Ferry (West Virginia),38
222560,Permanent marker blue 5mm nib (Blue) 5mm,Dhanishta Pullela,Gallipolis Ferry (West Virginia),43
222561,"""The Gu"" red shirt XML tag t-shirt (White) M",Dhanishta Pullela,Gallipolis Ferry (West Virginia),32
222562,IT joke mug - that behavior is by design (White),Dhanishta Pullela,Gallipolis Ferry (West Virginia),6
222093,Alien officer hoodie (Black) XXL,"Tailspin Toys (Lavon, TX)",Lavon (Texas),16
222094,Bubblewrap dispenser (Red) 1.5m,"Tailspin Toys (Lavon, TX)",Lavon (Texas),72
222095,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL","Tailspin Toys (Lavon, TX)",Lavon (Texas),130
222096,20 mm Double sided bubble wrap 20m,"Tailspin Toys (Lavon, TX)",Lavon (Texas),396
222064,USB food flash drive - pizza slice,Ivan Sepulveda,Northrop (Minnesota),48
222065,Superhero action jacket (Blue) S,Ivan Sepulveda,Northrop (Minnesota),30
222066,Dinosaur battery-powered slippers (Green) S,Ivan Sepulveda,Northrop (Minnesota),24
222067,"""The Gu"" red shirt XML tag t-shirt (White) XXL",Ivan Sepulveda,Northrop (Minnesota),130
222304,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",Ivan Sepulveda,Northrop (Minnesota),162
222079,32 mm Double sided bubble wrap 10m,"Wingtip Toys (Sunburg, MN)",Sunburg (Minnesota),33
222080,Bubblewrap dispenser (Black) 1.5m,"Wingtip Toys (Sunburg, MN)",Sunburg (Minnesota),108
222081,Black and orange this way up despatch tape  48mmx100m,"Wingtip Toys (Sunburg, MN)",Sunburg (Minnesota),144
222082,Ride on toy sedan car (Black) 1/12 scale,"Wingtip Toys (Sunburg, MN)",Sunburg (Minnesota),104
222083,Halloween skull mask (Gray) L,"Wingtip Toys (Sunburg, MN)",Sunburg (Minnesota),32
222458,Ride on toy sedan car (Black) 1/12 scale,"Tailspin Toys (Sallyards, KS)",Sallyards (Kansas),345
222459,Developer joke mug - this code was generated by a tool (White),"Tailspin Toys (Sallyards, KS)",Sallyards (Kansas),4
222460,DBA joke mug - daaaaaa-ta (Black),"Tailspin Toys (Sallyards, KS)",Sallyards (Kansas),4
222084,Air cushion film 200mmx200mm 325m,Arijit Bhuiyan,Esopus (New York),54
222085,3 kg Courier post bag (White) 300x190x95mm,Arijit Bhuiyan,Esopus (New York),19
222086,10 mm Anti static bubble wrap (Blue) 10m,Arijit Bhuiyan,Esopus (New York),312
222087,Shipping carton (Brown) 500x310x310mm,Arijit Bhuiyan,Esopus (New York),90
222451,Ride on toy sedan car (Blue) 1/12 scale,Arijit Bhuiyan,Esopus (New York),138
222452,Novelty chilli chocolates 250g,Arijit Bhuiyan,Esopus (New York),22
